id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
100250,icchitatthanipphattikāraṇatāti,.un.,,,,,icchitatthanipphattikāraṇatā+iti,,1,60,30,union,cm
100251,icchitoyevāti,.un.,,,,,icchito+eva+iti,,1,80,13,union,cm
100252,icchīyitthāti,.un.,,,,,icchīyitthā+iti,,1,60,13,union,cm
100253,idamaṭṭhikatāti,.un.,,,,,idamaṭṭhikatā+iti,,1,60,15,union,cm
100254,idañcāti,.un.,,,,,idaṃ+ca+iti,,1,80,8,union,cm
100255,idañcidañcāti,.un.,,,,,idañcidaṃ+ca+iti,,1,80,13,union,cm
100256,iddhividhāyāti,.un.,,,,,iddhividhāyā+iti,,1,60,14,union,cm
100257,iddhiyāti,.un.,,,,,iddhiyā+iti,,1,60,9,union,cm
100258,īdisāti,.un.,,,,,īdisā+iti,,1,60,7,union,cm
100259,imamevāti,.un.,,,,,imaṃ+eva+iti,,1,80,9,union,cm
100260,iriyāpathacariyāti,.un.,,,,,iriyāpathacariyā+iti,,1,60,18,union,cm
100261,iriyāpathavibhāgenāti,.un.,,,,,iriyāpathavibhāgenā+iti,,1,60,21,union,cm
100262,iriyāti,.un.,,,,,iriyā+iti,,1,60,7,union,cm
100263,issaravatāyāti,.un.,,,,,issaravatāyā+iti,,1,60,14,union,cm
100264,itarathāti,.un.,,,,,itarathā+iti,,1,60,10,union,cm
100265,ītihāti,.un.,,,,,ītihā+iti,,1,60,7,union,cm
100266,ittarakālatāyāti,.un.,,,,,ittarakālatāyā+iti,,1,60,16,union,cm
100267,itthikiriyāti,.un.,,,,,itthikiriyā+iti,,1,60,13,union,cm
100268,ivādisaddagammāti,.un.,,,,,ivādisaddagammā+iti,,1,60,17,union,cm
100269,jahāpetvāti,.un.,,,,,jahāpetvā+iti,,1,60,11,union,cm
100270,jahitāti,.un.,,,,,jahitā+iti,,1,60,8,union,cm
100271,jahitvāti,.un.,,,,,jahitvā+iti,,1,60,9,union,cm
100272,jalamānāti,.un.,,,,,jalamānā+iti,,1,60,10,union,cm
100273,jālasadisāti,.un.,,,,,jālasadisā+iti,,1,60,12,union,cm
100274,jālassāti,.un.,,,,,jālassā+iti,,1,60,9,union,cm
100275,jambudīpañcāti,.un.,,,,,jambudīpaṃ+ca+iti,,1,80,14,union,cm
100276,jambudīpassāti,.un.,,,,,jambudīpassā+iti,,1,60,14,union,cm
100277,janakāti,.un.,,,,,janakā+iti,,1,60,8,union,cm
100278,jānantenāti,.un.,,,,,jānantenā+iti,,1,60,11,union,cm
100279,janapadasīmāti,.un.,,,,,janapadasīmā+iti,,1,60,14,union,cm
100280,jānāpanāti,.un.,,,,,jānāpanā+iti,,1,60,10,union,cm
100281,jānāpethāti,.un.,,,,,jānāpethā+iti,,1,60,11,union,cm
100282,janasamūhāti,.un.,,,,,janasamūhā+iti,,1,60,12,union,cm
100283,janatāti,.un.,,,,,janatā+iti,,1,60,8,union,cm
100284,jānātiyevāti,.un.,,,,,jānāti+eva+iti,,1,80,12,union,cm
100285,jaṅghāti,.un.,,,,,jaṅghā+iti,,1,60,8,union,cm
100286,janikāti,.un.,,,,,janikā+iti,,1,60,8,union,cm
100287,jānimhāti,.un.,,,,,jānimhā+iti,,1,60,9,union,cm
