id,book,par_num,level,class,title,text
NULL,p34,307,100,gathalast,,"Kuto mettī khalassa ca."
NULL,p34,308,8,hangnum,62.,62.
NULL,p34,309,100,gatha1,," Dubbalassa  balaṃ rājā,"
NULL,p34,310,100,gatha2,,"Bālānaṃ rodanaṃ balaṃ;"
NULL,p34,311,100,gatha3,,"Balaṃmūḷhassa monittaṃ,"
NULL,p34,312,100,gathalast,,"Corānaṃ atathaṃ balaṃ."
NULL,p34,313,8,hangnum,63.,63.
NULL,p34,314,100,gatha1,," Yo  dhuvāni pariccajja,"
NULL,p34,315,100,gatha2,,"Adhuvaṃ parisevati;"
NULL,p34,316,100,gatha3,,"Dhuvāni tassa nassanti,"
NULL,p34,317,100,gathalast,,"Adhuvaṃ naṭṭhameva ca."
NULL,p34,318,8,hangnum,64.,64.
NULL,p34,319,100,gatha1,," Sukkaṃ maṃsaṃ thiyo vuddhā,"
NULL,p34,320,100,gatha2,,"Bālakka taruṇaṃ dadhi;"
NULL,p34,321,100,gatha3,,"Pabhāte methunaṃ niddā,"
NULL,p34,322,100,gathalast,,"Sajju pāṇaharāni cha;"
NULL,p34,323,8,hangnum,65.,65.
NULL,p34,324,100,gatha1,," Sajju  maṃsaṃ navannañca,"
NULL,p34,325,100,gatha2,,"Bālā thī khīrabhojanaṃ;"
NULL,p34,326,100,gatha3,,"Ghatamuṇhodakañceva,"
NULL,p34,327,100,gathalast,,"Sajju pāṇakarāni cha."
NULL,p34,328,8,hangnum,66.,66.
NULL,p34,329,100,gatha1,," Sīhādekaṃ  bakādekaṃ,"
NULL,p34,330,100,gatha2,,"Cha sunā tīṇi gadrabhā;"
NULL,p34,331,100,gatha3,,"Vāyasā catu sikkhetha,"
NULL,p34,332,100,gathalast,,"Cattāri kukkuṭādapi."
NULL,p34,333,8,hangnum,67.,67.
NULL,p34,334,100,gatha1,," Pabhūtamappakiccaṃ  vā,"
NULL,p34,335,100,gatha2,,"Yonaro kattumicchati;"
NULL,p34,336,100,gatha3,,"Saṃyatanena kattabbaṃ,"
NULL,p34,337,100,gathalast,,"Sīhādekaṃ pakittitaṃ."
NULL,p34,338,8,hangnum,68.,68.
NULL,p34,339,100,gatha1,," Sabbindriyāni saṃyama,"
NULL,p34,340,100,gatha2,,"Bakova patito jano;"
NULL,p34,341,100,gatha3,,"Kāladesopapannāni,"
NULL,p34,342,100,gathalast,,"Sabbakiccāni sādhaye."
NULL,p34,343,8,hangnum,69.,69.
NULL,p34,344,100,gatha1,," Bahvāsī  sāppasantuṭṭho,"
NULL,p34,345,100,gatha2,,"Suniddo sīghacetano;"
NULL,p34,346,100,gatha3,,"Pabhubhatto ca sūro ca,"
NULL,p34,347,100,gathalast,,"Ñātabbā cha sunā guṇā."
NULL,p34,348,8,hangnum,70.,70.
NULL,p34,349,100,gatha1,," Avissāmaṃ  vahe bhāraṃ,"
NULL,p34,350,100,gatha2,,"Sītuṇhañca navindati;"
NULL,p34,351,100,gatha3,,"Sa santoso tathā niccaṃ,"
NULL,p34,352,100,gathalast,,"Tīṇi sikkhetha gadrabhā."
NULL,p34,353,8,hangnum,71.,71.
NULL,p34,354,100,gatha1,," Guḷhamethunadhammañca,"
NULL,p34,355,100,gatha2,,"Kālekāle ca saṅgahaṃ;"
NULL,p34,356,100,gatha3,,"Appamādamanālasyaṃ,"
NULL,p34,357,100,gathalast,,"Catu sikkhetha vāyasā."
NULL,p34,358,8,hangnum,72.,72.
NULL,p34,359,100,gatha1,," Yuddhañca  pātaruṭṭhānaṃ,"
NULL,p34,360,100,gatha2,,"Bhojanaṃ saha bandhuhi;"
NULL,p34,361,100,gatha3,,"Thiyaṃ āpadaggataṃ rakkhe,"
NULL,p34,362,100,gathalast,,"Catu sikkhetha kukkuṭā."
NULL,p34,363,8,hangnum,73.,73.
NULL,p34,364,100,gatha1,," Kotibhāro  samatthānaṃ,"
NULL,p34,365,100,gatha2,,"Kiṃdūraṃ byavasāyinaṃ;"
NULL,p34,366,100,gatha3,,"Ko videso savijjānaṃ,"
NULL,p34,367,100,gathalast,,"Ko paro piyavādinaṃ."
NULL,p34,368,8,hangnum,74.,74.
NULL,p34,369,100,gatha1,," Bhayassa kathito pantho,"
NULL,p34,370,100,gatha2,,Indriyānamasaṃyamo;
NULL,p34,371,100,gatha3,,"Tajjayo sampadāmaggo,"
NULL,p34,372,100,gathalast,,"Yeniṭṭhaṃ tena gamyate."
NULL,p34,373,8,hangnum,75.,75.
NULL,p34,374,100,gatha1,," Na  ca vijjāsamo bandhu,"
NULL,p34,375,100,gatha2,,"Na ca byādhisamo ripu;"
NULL,p34,376,100,gatha3,,"Nacāpaccasamo sneho,"
NULL,p34,377,100,gathalast,,"Na ca devā paraṃ balaṃ."
NULL,p34,378,8,hangnum,76.,76.
NULL,p34,379,100,gatha1,," Samuddāvaraṇā  bhūmi,"
NULL,p34,380,100,gatha2,,"Pākārāvaraṇaṃ gahaṃ;"
NULL,p34,381,100,gatha3,,"Narindāvaraṇā desā,"
NULL,p34,382,100,gathalast,,"Cārittāvaraṇā thiyo."
NULL,p34,383,8,hangnum,77.,77.
NULL,p34,384,100,gatha1,," Ghatakumbhasamā nārī,"
NULL,p34,385,100,gatha2,,"Tattaṅgāra samo pumā;"
NULL,p34,386,100,gatha3,,"Tasmā ghatañca aggiñca,"
NULL,p34,387,100,gathalast,,"Nekatra thapaye budho."
NULL,p34,388,8,hangnum,78.,78.
NULL,p34,389,100,gatha1,," Āhāro  dviguṇo thīnaṃ,"
NULL,p34,390,100,gatha2,,"Buddhi tāsaṃ catugguṇo;"
NULL,p34,391,100,gatha3,,"Chaguṇo byavasāyo ca,"
NULL,p34,392,100,gathalast,,"Kāmocaṭṭhaguṇo mato."
NULL,p34,393,8,hangnum,79.,79.
NULL,p34,394,100,gatha1,," Jiṇṇamannaṃ  pasaṃseyya,"
NULL,p34,395,100,gatha2,,"Bhariyaṃ gatayobbanaṃ;"
NULL,p34,396,100,gatha3,,"Raṇā paccāgataṃ sūraṃ,"
NULL,p34,397,100,gathalast,,"Sassañca gehamāgataṃ."
NULL,p34,398,8,hangnum,80.,80.
NULL,p34,399,100,gatha1,," Asantuṭṭhā  dvijā naṭṭhā,"
NULL,p34,400,100,gatha2,,"Santuṭṭhāiva pāthivā;"
