"gramma","count"
saṃ.ni.ṭī.2.,23
saṃ.ni.ṭī.2.1.,1
saṃ.ni.ṭī.2.2.,11
saṃ.ni.ṭī.2.3.,4
saṃ.ni.ṭī.2.4.,1
saṃ.ni.ṭī.2.5.,5

saṃ.ni.ṭī.3.,2
saṃ.ni.ṭī.3.5.,2

saṃ.ni2.,1
saṃ.ni2.4.,1
saṃni.,4
saṃni.1.,2
saṃni.2.,2
saṃni.2.4.,1
sārattha.aṭṭha.,1
sārattha.aṭṭha.pācittiya3.,1
sārattha.dī.,1
sārattha.dī.pārājikakaṇḍa2.,1
sārattha.ṭī.,388
sārattha.ṭī..,1
sārattha.ṭī..Cūḷavagga3.,1
sārattha.ṭī.1.,27
sārattha.ṭī.1.buddhāciṇṇakathā.,1
sārattha.ṭī.2.,120
sārattha.ṭī.3.,5
sārattha.ṭī.cūḷava.,1
sārattha.ṭī.cūḷava.3.,1
sārattha.ṭī.cūḷavagga.,1
sārattha.ṭī.cūḷavagga.3.,1
sārattha.ṭī.cūḷavagga2.,1
sārattha.ṭī.cūḷavagga3.,34
sārattha.ṭī.cūḷvagga3.,1
sārattha.ṭī.mahāva.,1
sārattha.ṭī.mahāvagga3.,77
sārattha.ṭī.mahāvaggo3.,1
sārattha.ṭī.pācittiya3.,54
sārattha.ṭī.pācittiyakaṇḍa3.,2
sārattha.ṭī.pārājika2.,1
sārattha.ṭī.pārājikakaṇḍa2.,10
sārattha.ṭī.pārājikakaṇḍa3.,1
sārattha.ṭī.parivāra3.,9
sārattha.ṭī.saṃghādisesakaṇḍa3.,1
sārattha.ṭī.sekhiyakaṇḍa3.,1
sārattha.ṭī.verañjakaaṇḍavaṇṇanā.,1
sāratthaṭī.,2
sāratthaṭī.mahāvagga3.,1
sāratthaṭī.pārājikakaṇḍa2.,1
sattarasamavagge,2
savipākaṃ,1
Savipākaṃ–,78
sī.aṭṭha.su.ni.,1
sī.dha.pa.,1
"sī.pī.,a.ni.",1
"sī.pī.,a.ni.8.",1
sī.pī.a.ni.,3
sī.pī.a.ni.3.,1
sī.pī.a.ni.4.,1
sī.pī.a.ni.8.,1
sī.pī.ma.ni.,2
sī.pī.saṃ.ni.,2
sī.pī.saṃ.ni.1.,1
sī.pī.saṃ.ni.5.,1
sī.saṃ.ni.,1
sī.saṃ.ni.1.,1
"sī.syā.,saṃ.ni.",1
"sī.syā.,saṃ.ni.1.",1
"sī.syā.kaṃ.pī.,saṃ.ni.",1
"sī.syā.kaṃ.pī.,saṃ.ni.2.",1
sī.syā.kaṃ.pī.dī.ni.,2
sī.syā.kaṃ.pī.dī.ni.1.,2
sī.syā.ma.ni.,1
sī.syā.ma.ni.2.,1
sī.syā.pī.su.ni.,1
